fecha,descripcion,categoria,proveedor,monto,elaboro
2025-10-13,Hielo,Insumos,Seven Eleven,50,Julián Anzaldúa Guitrón
2025-10-13,Tarjeta,Pagos personales,Julián,500,Julián Anzaldúa Guitrón
2025-10-14,Tortuga,Insumos,Chica tortuga,420,Julián Anzaldúa Guitrón
2025-10-14,Domicilios,Servicios / Mantenimiento,Market,750,Julián Anzaldúa Guitrón
2025-10-14,Coca y cloro,Insumos,Seven Eleven,66,Julián Anzaldúa Guitrón
2025-10-14,Pan,Insumos,Fresh,200,Julián Anzaldúa Guitrón
2025-10-14,Verdura,Insumos,Frutas Luis,312,Julián Anzaldúa Guitrón
2025-10-14,Brownies,Insumos,Chica brownie,400,Julián Anzaldúa Guitrón
2025-10-14,Tarjeta,Pagos personales,Julián,500,Julián Anzaldúa Guitrón
2025-10-14,Hielo,Insumos,Seven Eleven,50,Julián Anzaldúa Guitrón
2025-10-15,Checo,Empleados / Mano de obra,Sueldo Checo,1000,Julián Anzaldúa Guitrón
2025-10-15,Verdura,Insumos,Frutas Luis,520,Julián Anzaldúa Guitrón
2025-10-15,Coca,Consumo empleados,Seven Eleven,50,Julián Anzaldúa Guitrón
2025-10-15,Sal,Insumos,Seven Eleven,25,Julián Anzaldúa Guitrón
2025-10-15,Fabuloso,Insumos,Seven Eleven,60,Julián Anzaldúa Guitrón
2025-10-15,Tarjeta,Pagos personales,Julián,500,Julián Anzaldúa Guitrón
2025-10-15,Coca,Consumo empleados,Seven Eleven,48,Julián Anzaldúa Guitrón
2025-10-15,Taxis,Transporte,Taxis varios,200,Julián Anzaldúa Guitrón
2025-10-15,Hielo,Insumos,Seven Eleven,105,Julián Anzaldúa Guitrón
2025-10-16,Varios,Insumos,Varios,500,Julián Anzaldúa Guitrón
2025-10-16,Sacar la basura,Servicios / Mantenimiento,Poncho,200,Julián Anzaldúa Guitrón
2025-10-16,Refresco y vasos,Consumo empleados,Seven Eleven,85,Julián Anzaldúa Guitrón
2025-10-16,Lulu,Pagos personales,Limpieza casa,1200,Julián Anzaldúa Guitrón
2025-10-16,Galletas,Consumo empleados,Seven Eleven,26,Julián Anzaldúa Guitrón
2025-10-16,Julián,Pagos personales,Julián,149,Julián Anzaldúa Guitrón
2025-10-16,Tarjeta,Pagos personales,Julián,500,Julián Anzaldúa Guitrón
2025-10-16,Taxi Daniela,Transporte,Taxi Daniela,100,Julián Anzaldúa Guitrón
2025-10-17,Pan,Insumos,Fresh,500,Julián Anzaldúa Guitrón
2025-10-17,Sacar la basura,Servicios / Mantenimiento,Poncho,200,Julián Anzaldúa Guitrón
2025-10-17,Verdura,Insumos,Frutas Luis,528,Julián Anzaldúa Guitrón
2025-10-17,Coca,Consumo empleados,Seven Eleven,45,Julián Anzaldúa Guitrón
2025-10-17,Checo,Empleados / Mano de obra,Préstamo Checo,100,Julián Anzaldúa Guitrón
2025-10-17,Julián,Pagos personales,Julián,100,Julián Anzaldúa Guitrón
2025-10-17,Hielo,Insumos,Seven Eleven,105,Julián Anzaldúa Guitrón
2025-10-17,Taxi,Transporte,Taxi,120,Julián Anzaldúa Guitrón
2025-10-17,Tarjeta,Pagos personales,Julián,500,Julián Anzaldúa Guitrón
2025-10-17,Taxi Rona,Transporte,Taxi Rona,100,Julián Anzaldúa Guitrón
2025-10-18,Coca,Consumo empleados,Seven Eleven,48,Julián Anzaldúa Guitrón
2025-10-18,Coca y vasos,Consumo empleados,Seven Eleven,92,Julián Anzaldúa Guitrón
2025-10-18,Pan y aguacate,Insumos,Seven Eleven,500,Julián Anzaldúa Guitrón
2025-10-18,Sueldo,Empleados / Mano de obra,Sueldo,3040,Julián Anzaldúa Guitrón
2025-10-18,Aguas,Consumo empleados,Seven Eleven,465,Julián Anzaldúa Guitrón
2025-10-18,Checo,Empleados / Mano de obra,Préstamo Checo,100,Julián Anzaldúa Guitrón
2025-10-18,Devolución tortas,Devolución,Astro Burger,915,Julián Anzaldúa Guitrón
2025-10-18,Papel,Consumo empleados,Seven Eleven,45,Julián Anzaldúa Guitrón
2025-10-18,Hielo,Insumos,Seven Eleven,100,Julián Anzaldúa Guitrón
2025-10-18,Gasolina,Transporte,Cristy,500,Julián Anzaldúa Guitrón
2025-10-18,Tarjeta,Pagos personales,Julián,500,Julián Anzaldúa Guitrón
2025-10-18,Taxi Rona,Transporte,Taxi Rona,100,Julián Anzaldúa Guitrón
2025-10-18,Verdura,Insumos,Frutas Luis,580,Julián Anzaldúa Guitrón
2025-10-19,Verdura,Insumos,Frutas Luis,240,Julián Anzaldúa Guitrón
2025-10-19,Sacar la basura,Servicios / Mantenimiento,Poncho,300,Julián Anzaldúa Guitrón
2025-10-19,Coca,Consumo empleados,Seven Eleven,48,Julián Anzaldúa Guitrón
2025-10-19,Cena,Consumo empleados,Rappi,685,Julián Anzaldúa Guitrón
2025-10-19,Vasos,Consumo empleados,Seven Eleven,38,Julián Anzaldúa Guitrón
2025-10-19,Hielo,Insumos,Seven Eleven,52,Julián Anzaldúa Guitrón
2025-10-19,Sueldo Julián,Empleados / Mano de obra,Sueldo Julián,2200,Julián Anzaldúa Guitrón
2025-10-19,Taxi,Transporte,Taxi,100,Julián Anzaldúa Guitrón
2025-10-19,Tarjeta,Pagos personales,Julián,500,Julián Anzaldúa Guitrón
2025-10-20,Coca,Consumo empleados,Seven Eleven,56,Julián Anzaldúa Guitrón
2025-10-20,Envio (Coss),Transporte,Envio de Coss,50,Julián Anzaldúa Guitrón
2025-10-20,Verdura,Insumos,Frutas Luis,320,Julián Anzaldúa Guitrón
2025-10-20,Aguas,Insumos,Seven Eleven,450,Julián Anzaldúa Guitrón
2025-10-20,Taxi,Transporte,Taxi,120,Julián Anzaldúa Guitrón
2025-10-20,Coca,Consumo empleados,Seven Eleven,50,Julián Anzaldúa Guitrón
2025-10-20,Tarjeta,Pagos personales,Julián,1000,Julián Anzaldúa Guitrón
2025-10-20,Hielo,Insumos,Seven Eleven,50,Julián Anzaldúa Guitrón
2025-10-21,Coca,Consumo empleados,Seven Eleven,555,Julián Anzaldúa Guitrón
2025-10-21,Varios,Insumos,Varios,300,Julián Anzaldúa Guitrón
2025-10-21,Market,Servicios / Mantenimiento,Market,750,Julián Anzaldúa Guitrón
2025-10-21,Jabón,Consumo empleados,Seven Eleven,17,Julián Anzaldúa Guitrón
2025-10-21,Papel,Consumo empleados,Seven Eleven,41,Julián Anzaldúa Guitrón
2025-10-21,Taxi Daniela,Transporte,Taxi Daniela,100,Julián Anzaldúa Guitrón
2025-10-21,Tarjeta,Pagos personales,Julián,1000,Julián Anzaldúa Guitrón
2025-10-22,Plancha,Servicios / Mantenimiento,Plancha,800,Julián Anzaldúa Guitrón
2025-10-22,Coca,Consumo empleados,Seven Eleven,125,Julián Anzaldúa Guitrón
2025-10-22,Aguas,Insumos,Seven Eleven,480,Julián Anzaldúa Guitrón
2025-10-22,Taxi,Transporte,Taxi,100,Julián Anzaldúa Guitrón
2025-10-22,Julián,Pagos personales,Seven Eleven,126,Julián Anzaldúa Guitrón
2025-10-22,Tarjeta,Pagos personales,Julián,1000,Julián Anzaldúa Guitrón
2025-10-22,Hielo,Insumos,Seven Eleven,52,Julián Anzaldúa Guitrón
2025-10-22,Taxi Juan,Transporte,Taxi Juan,100,Julián Anzaldúa Guitrón
2025-10-22,Taxi Daniela,Transporte,Taxi Daniela,100,Julián Anzaldúa Guitrón
2025-10-23,Reparación Refrigerador,Servicios / Mantenimiento,Sr. Refrigerador,700,Julián Anzaldúa Guitrón
2025-10-23,Verdura,Insumos,Frutas Luis,600,Julián Anzaldúa Guitrón
2025-10-23,Caja Cambio,Otro,Astro Burger,100,Julián Anzaldúa Guitrón
2025-10-23,Hielo,Insumos,Seven Eleven,52,Julián Anzaldúa Guitrón
2025-10-23,Tarjeta,Pagos personales,Julián,1000,Julián Anzaldúa Guitrón
2025-10-23,Taxi Daniela,Transporte,Taxi Daniela,100,Julián Anzaldúa Guitrón
2025-10-24,Nicole,Empleados / Mano de obra,Préstamo Nicole,200,Julián Anzaldúa Guitrón
2025-10-24,Reparación Refri ,Servicios / Mantenimiento,Domingo (señor Refri),500,Julián Anzaldúa Guitrón
2025-10-24,Coca,Consumo empleados,Seven eleven,48,Julián Anzaldúa Guitrón
2025-10-24,Taxi Nicole,Transporte,Taxi Nicole ,115,Julián Anzaldúa Guitrón
2025-10-24,Préstamo Checo,Empleados / Mano de obra,Préstamo Checo,150,Julián Anzaldúa Guitrón
2025-10-24,Varios,Insumos,Varios,778,Cristy Torres
2025-10-24,Taxi Roba,Transporte,Taxi Rona,100,Julián Anzaldúa Guitrón
2025-10-24,Tarjeta,Pagos personales,Julián ,1000,Julián Anzaldúa Guitrón
2025-10-24,Motor Refri ,Servicios / Mantenimiento,Señor Refrigerador ,600,Julián Anzaldúa Guitrón
2025-10-25,Coca y vasos,Consumo empleados,Seven eleven,84,Julián Anzaldúa Guitrón
2025-10-25,Sal,Consumo empleados,Seven eleven ,23,Julián Anzaldúa Guitrón
2025-10-25,Aguas sabor ,Insumos,Aguas Frescas SLW,600,Julián Anzaldúa Guitrón
2025-10-26,Pintura,Servicios / Mantenimiento,Poncho,1500,Julián Anzaldúa Guitrón
2025-10-26,Empanadas,Consumo empleados,Empanadas,30,Julián Anzaldúa Guitrón
2025-10-26,Coca,Consumo empleados,Seven Eleven,45,Julián Anzaldúa Guitrón
2025-10-26,Cena,Consumo empleados,Rappi,725,Julián Anzaldúa Guitrón
2025-10-26,Taxi,Transporte,Taxi Rona y Daniela,200,Julián Anzaldúa Guitrón
2025-10-26,Tarjeta,Pagos personales,Julián,1000,Julián Anzaldúa Guitrón
2025-10-26,Verdura,Insumos,Frutas Luis,250,Julián Anzaldúa Guitrón
2025-10-26,Pan,Insumos,Fresh Market,250,Julián Anzaldúa Guitrón
2025-10-26,Hielo,Insumos,Seven Eleven,50,Julián Anzaldúa Guitrón
2025-10-27,Vasos y coca,Consumo empleados,Seven Eleven,75,Julián Anzaldúa Guitrón
2025-10-27,Lulu,Empleados / Mano de obra,Limpieza casa,1200,Julián Anzaldúa Guitrón
2025-10-27,Julián,Pagos personales,Julián,1015,Julián Anzaldúa Guitrón
2025-10-27,Coca,Consumo empleados,Seven Eleven,48,Julián Anzaldúa Guitrón
2025-10-27,Varios,Varios,Varios,138,Julián Anzaldúa Guitrón
2025-10-27,Taxi Daniela,Transporte,Taxi Daniela,100,Julián Anzaldúa Guitrón
2025-10-27,Tarjeta,Pagos personales,Julián,1000,Julián Anzaldúa Guitrón
2025-10-28,Verdura,Insumos,Frutas Luis,250,Julián Anzaldúa Guitrón
2025-10-28,Aguas,Insumos,Aguas SLW,450,Julián Anzaldúa Guitrón
2025-10-28,Market,Servicios / Mantenimiento,Market,750,Julián Anzaldúa Guitrón
2025-10-28,Crema,Insumos,Seven Eleven,40,Julián Anzaldúa Guitrón
2025-10-28,Tarjeta,Pagos personales,Julián,1000,Julián Anzaldúa Guitrón
2025-10-28,Hielo,Insumos,Seven Eleven,50,Julián Anzaldúa Guitrón
2025-10-29,Vasos,Consumo empleados,Seven Eleven,38,Julián Anzaldúa Guitrón
2025-10-29,Chocolate,Insumos,Chica chocolate,420,Julián Anzaldúa Guitrón
2025-10-29,Papel,Consumo empleados,Seven Eleven,40,Julián Anzaldúa Guitrón
2025-10-29,Tarjeta,Pagos personales,Julián,1000,Julián Anzaldúa Guitrón
2025-10-29,Taxi Juan,Transporte,Taxi Juan,100,Julián Anzaldúa Guitrón
2025-10-30,Tarjeta,Pagos personales,Julián,2000,Julián Anzaldúa Guitrón
2025-10-30,"Pan, Aguacate y Verdura",Insumos,Varios,1100,Julián Anzaldúa Guitrón
2025-10-30,Sacar la basura,Servicios / Mantenimiento,Poncho,250,Julián Anzaldúa Guitrón
2025-10-30,Coca,Consumo empleados,Seven Eleven,46,Julián Anzaldúa Guitrón
2025-10-30,Sky,Servicios / Mantenimiento,Sky,1295,Julián Anzaldúa Guitrón
2025-10-30,Brownies,Insumos,Chica brownie,400,Julián Anzaldúa Guitrón
2025-10-30,Tarjeta,Pagos personales,Julián,1000,Julián Anzaldúa Guitrón
2025-10-30,Taxi Daniela,Transporte,Taxi Daniela,100,Julián Anzaldúa Guitrón
2025-10-31,Verdura,Insumos,Frutas Luis,588,Julián Anzaldúa Guitrón
2025-10-31,Coca,Consumo empleados,Seven Eleven,56,Julián Anzaldúa Guitrón
2025-10-31,Propina papá,Transporte,Coss,50,Julián Anzaldúa Guitrón
2025-10-31,Checo,Transporte,Taxi Checo,100,Julián Anzaldúa Guitrón
2025-10-31,Coca,Consumo empleados,Seven Eleven,45,Julián Anzaldúa Guitrón
2025-10-31,Reparación Computadora,Servicios / Mantenimiento,Computadora,1500,Julián Anzaldúa Guitrón
2025-10-31,Taxi Juan,Transporte,Taxi Juan,100,Julián Anzaldúa Guitrón
2025-10-31,Tarjeta,Pagos personales,Julián,1000,Julián Anzaldúa Guitrón
2025-11-01,"Pan, Aguacate y Verdura",Insumos,Varios,800,Julián Anzaldúa Guitrón
2025-11-01,Vasos,Consumo empleados,Seven Eleven,36,Julián Anzaldúa Guitrón
2025-11-01,Sueldo Señora + Nicole,Empleados / Mano de obra,Nicole,3040,Julián Anzaldúa Guitrón
2025-11-01,Taxi Checo,Transporte,Taxi Checo,100,Julián Anzaldúa Guitrón
2025-11-01,Coca,Consumo empleados,Seven Eleven,63,Julián Anzaldúa Guitrón
2025-11-01,Tarjeta,Pagos personales,Julián,1000,Julián Anzaldúa Guitrón
2025-11-01,Taxi Daniela,Transporte,Taxi Daniela,100,Julián Anzaldúa Guitrón
2025-11-02,Verdura ,Insumos,Frutas Luis ,357,Julián Anzaldúa Guitrón
2025-11-02,Domicilios,Servicios / Mantenimiento,Domicilio,152,Julián Anzaldúa Guitrón
2025-11-02,Cena,Consumo empleados,Yoggi,450,Julián Anzaldúa Guitrón
2025-11-02,Papel,Consumo empleados,Seven Eleven ,43,Julián Anzaldúa Guitrón
2025-11-02,Sal,Insumos,Seven Eleven,26,Julián Anzaldúa Guitrón
2025-11-02,Domicilio ,Servicios / Mantenimiento,Domicilio ,22,Julián Anzaldúa Guitrón
2025-11-02,Gasolina,Transporte,Cristy,500,Julián Anzaldúa Guitrón
2025-11-03,Aguas   sabor ,Insumos,Aguas frescas SLW,750,Cristy Torres
2025-11-03,Taxi,Transporte,Nicole,105,Cristy Torres
2025-11-03,Verdura ,Insumos,Frutas luis,357,Cristy Torres
2025-11-03,Rollos impresora ,Insumos,Blanca baleros ,1520,Cristy Torres
2025-11-03,Pan jamón y queso ,Consumo empleados,Seven ,119,Cristy Torres
2025-11-03,Refrescos y vasos ,Consumo empleados,Seven,75,Cristy Torres
2025-11-03,Pan torta ,Insumos,Fresh,150,Cristy Torres
2025-11-03,Tarjeta ,Pagos personales,Julián ,1000,Cristy Torres
2025-11-03,Taxi,Transporte,Daniela ,100,Cristy Torres
2025-11-04,Coca,Consumo empleados,Seven,45,Cristy Torres
2025-11-04,Afilador ,Servicios / Mantenimiento,Señor x,200,Cristy Torres
2025-11-04,Verdura ,Insumos,Frutas luis,252,Cristy Torres
2025-11-04,Taxi a Daniela ,Transporte,Idraiber,100,Cristy Torres
2025-11-04,Tarjeta ,Pagos personales,Julian,1000,Cristy Torres
2025-11-04,Fumigador,Servicios / Mantenimiento,Genesis,850,Cristy Torres
2025-11-06,Cocq,Consumo empleados,Seven,45,Cristy Torres
2025-11-06,Verdura y pan ,Insumos,Frutas luis y fresh,800,Cristy Torres
2025-11-06,Tarjeta ,Pagos personales,Julian,1000,Cristy Torres
2025-11-06,Taxi,Transporte,Daniela ,100,Cristy Torres
2025-11-07,verdura ,Insumos,Frutas luis,680,Julián Anzaldúa Guitrón
2025-11-07,Coca,Consumo empleados,Seven,50,Julián Anzaldúa Guitrón
2025-11-07,Devolución ,DEVOLUCIÓN ,Astro,184,Julián Anzaldúa Guitrón
2025-11-07,Taxi Nicole ,Transporte,Taxi,105,Julián Anzaldúa Guitrón
2025-11-07,Taxi Checo ,Transporte,Taxi,150,Julián Anzaldúa Guitrón
2025-11-07,Brownies ,Insumos,Chica brownie ,400,Julián Anzaldúa Guitrón
2025-11-07,Market,Servicios / Mantenimiento,Market,750,Julián Anzaldúa Guitrón
2025-11-07,Coca,Consumo empleados,Seven,45,Julián Anzaldúa Guitrón
2025-11-07,Taxi Rona,Transporte,Taxi,100,Julián Anzaldúa Guitrón
2025-11-07,Tarjeta,Pagos personales,Julián ,1009,Julián Anzaldúa Guitrón
2025-11-08,Verdura,Insumos,Frutas luis,530,Cristy Torres
2025-11-08,Coca,Consumo empleados,Seven,83,Cristy Torres
2025-11-08,Prestamo personal,Pagos personales,Nelson,1000,Cristy Torres
2025-11-08,Sueldo,Empleados / Mano de obra,Nicole y conchilu,3040,Cristy Torres
2025-11-08,Taxi checo,Transporte,Checo,100,Cristy Torres
2025-11-08,Coca,Consumo empleados,Seven,58,Cristy Torres
2025-11-08,Rollo,Consumo empleados,Seven,30,Cristy Torres
2025-11-08,Taxi ronamdo,Transporte,Idraiber ,100,Cristy Torres
2025-11-08,Tarjeta ,Pagos personales,Julian ,1000,Cristy Torres
2025-11-10,Vasos y coca ,Consumo empleados,Seven,90,Cristy Torres
